name,name2,opcode,AN_BOT,AN_TOP,IMM_BOT,MUX_PC,WB_READ,WB_WRITE,REG_WRITE,SET_FLAGS,IF_NEXT_PC,BR_PC,BR_PC_COND,op
mov,mov,0000000,1,0,0,0,0,0,1,0,1,0,0,1011
movt,movt,0000001,0,1,0,0,0,0,1,0,1,0,0,1011
nop,nop,1100100,0,0,0,0,1,0,1,0,1,0,0,0111
r_load,load,1000000,0,0,0,0,0,1,0,0,1,0,0,0111
o_load,load,1000000,0,0,1,0,0,0,1,0,1,0,0,1001
r_stor,stor,1000001,0,0,0,0,0,0,1,0,1,0,0,1001
o_stor,stor,1000001,0,0,1,0,0,0,1,1,1,0,0,1001
i_add,add,0010001,0,0,0,0,0,0,1,1,1,0,0,1001
r_add,add,0010001,0,0,1,0,0,0,1,0,1,0,0,1010
i_adds,adds,0011001,0,0,0,0,0,0,1,0,1,0,0,1010
r_adds,adds,0011001,0,0,1,0,0,0,1,1,1,0,0,1010
i_sub,sub,0010010,0,0,0,0,0,0,1,1,1,0,0,1010
r_sub,sub,0010010,0,0,1,0,0,0,1,0,1,0,0,1011
i_subs,cmp,0011010,0,0,0,0,0,0,1,0,1,0,0,1011
r_subs,cmp,0011010,0,0,1,0,0,0,1,1,1,0,0,1011
i_and,and,0010011,0,0,0,0,0,0,1,1,1,0,0,1011
r_and,and,0010011,0,0,1,0,0,0,1,0,1,0,0,1100
i_ands,ands,0011011,0,0,0,0,0,0,1,0,1,0,0,1100
r_ands,ands,0011011,0,0,1,0,0,0,1,1,1,0,0,1100
i_or,or,0010100,0,0,0,0,0,0,1,1,1,0,0,1100
r_or,or,0010100,0,0,1,0,0,0,1,0,1,0,0,1101
i_ors,ors,0011100,0,0,0,0,0,0,1,0,1,0,0,1101
r_ors,ors,0011100,0,0,0,0,0,0,1,1,1,0,0,1101
i_xor,xor,0010101,0,0,1,0,0,0,1,1,1,0,0,1101
r_xor,xor,0010101,0,0,0,0,0,0,1,0,1,0,0,1110
r_xors,xors,0111101,1,1,0,1,0,0,0,0,0,1,0,0111
i_xors,xors,0011101,1,1,0,1,0,0,0,0,0,0,1,0111
not_,not,0110110,0,0,0,1,0,0,0,0,0,1,0,0111
b,b,1100000,0,0,1,1,0,0,0,1,0,0,0,0000
b_cond,b.cond,1100001,0,0,1,1,0,0,0,0,1,0,0,0000
r_br,br,1100010,0,0,1,1,0,0,1,0,1,0,0,0100
o_br,br,1100010,0,0,0,0,0,0,1,0,1,0,0,0101
halt,halt,1101000,0,0,0,0,0,0,1,0,1,0,0,0010
lsl,lsl,0000100,0,0,1,0,0,0,1,0,1,0,0,0011
lsr,lsr,0000101,0,0,1,0,0,0,0,0,0,0,0,0000
clr,clr,0000010,0,0,0,0,0,0,0,0,0,0,0,0010
set,set,0000011,0,0,0,0,0,0,1,0,1,0,0,0011
PAUSE,PAUSE,1111111,0,0,0,0,0,0,0,0,0,0,0,1111
